epoch,loss,mae,val_loss,val_mae,learning_rate
0,0.0066270651295781136,0.06405995786190033,0.02338668517768383,0.13416659832000732,0.0010000000474974513
1,0.020104655995965004,0.10478688031435013,0.01731174625456333,0.11345909535884857,0.0010000000474974513
2,0.030435804277658463,0.13399656116962433,0.006774796638637781,0.06289453059434891,0.0010000000474974513
3,0.06258107721805573,0.20527713000774384,0.02420041896402836,0.14041154086589813,0.0010000000474974513
4,0.03223796561360359,0.14683808386325836,0.04248072952032089,0.19253838062286377,0.0010000000474974513
5,0.012326820753514767,0.08384151011705399,0.01761394552886486,0.12141925096511841,0.0010000000474974513
6,0.005905548110604286,0.057810503989458084,0.017293410375714302,0.12218701839447021,0.0010000000474974513
7,0.0031323893927037716,0.0445684976875782,0.01289294846355915,0.1034131795167923,0.0010000000474974513
8,0.0038595206569880247,0.04988861083984375,0.015118051320314407,0.11424070596694946,0.0010000000474974513
9,0.0024868594482541084,0.03945322334766388,0.011780306696891785,0.0993255227804184,0.0010000000474974513
10,0.0024930944200605154,0.0394357331097126,0.008785638958215714,0.0851992666721344,0.0005000000237487257
11,0.002451950218528509,0.03608711436390877,0.007479941938072443,0.07812367379665375,0.0005000000237487257
12,0.001806342275813222,0.03136756643652916,0.008531156927347183,0.08404265344142914,0.0005000000237487257
13,0.0017223457107320428,0.030499020591378212,0.006809081882238388,0.07430770993232727,0.0005000000237487257
14,0.001819643541239202,0.03025362268090248,0.00855136476457119,0.08447349816560745,0.0005000000237487257
15,0.0015880102291703224,0.028980763629078865,0.007071467582136393,0.07592599093914032,0.0005000000237487257
16,0.001551268738694489,0.028694620355963707,0.006172950845211744,0.07056986540555954,0.0005000000237487257
17,0.0015192453283816576,0.0282964576035738,0.0064895241521298885,0.07287562638521194,0.0005000000237487257
18,0.0013492262223735452,0.026648027822375298,0.006769637577235699,0.07479860633611679,0.0005000000237487257
19,0.0014204465551301837,0.027207152917981148,0.005228539928793907,0.06438000500202179,0.0005000000237487257
20,0.001220513368025422,0.02545493096113205,0.00587177649140358,0.069174624979496,0.0005000000237487257
21,0.0012758139055222273,0.026118628680706024,0.004614180885255337,0.06054980680346489,0.0005000000237487257
22,0.001572363660670817,0.02808382734656334,0.005317762494087219,0.06637279689311981,0.0005000000237487257
23,0.0012012656079605222,0.02476285956799984,0.005888716317713261,0.07102075964212418,0.0005000000237487257
24,0.001169865601696074,0.025069156661629677,0.004314939491450787,0.0589505098760128,0.0005000000237487257
25,0.0013357558054849505,0.027135487645864487,0.0044271922670304775,0.05917446315288544,0.0005000000237487257
26,0.0013692228822037578,0.027845745906233788,0.004897858947515488,0.06242795288562775,0.0005000000237487257
27,0.0013331020018085837,0.02692384645342827,0.002990562468767166,0.04637441784143448,0.0005000000237487257
28,0.0012871448416262865,0.027167493477463722,0.00426405668258667,0.05866685137152672,0.0005000000237487257
29,0.001227407599799335,0.02741808257997036,0.005045928061008453,0.063951276242733,0.0005000000237487257
30,0.0012179636396467686,0.026372602209448814,0.0033507857006043196,0.05103369802236557,0.0005000000237487257
31,0.001178631791844964,0.025019783526659012,0.0022287797182798386,0.040280092507600784,0.0005000000237487257
32,0.0012442398583516479,0.025660956278443336,0.0043592932634055614,0.06093363091349602,0.0005000000237487257
33,0.0010986250126734376,0.024497566744685173,0.004266435746103525,0.06017288938164711,0.0005000000237487257
34,0.0011878061341121793,0.02550402283668518,0.0037832690868526697,0.056345365941524506,0.0005000000237487257
35,0.0010926374234259129,0.024184228852391243,0.004053710028529167,0.05915846303105354,0.0005000000237487257
36,0.0012471715454012156,0.026413459330797195,0.0044046612456440926,0.0613679476082325,0.0005000000237487257
37,0.0013635278446599841,0.029515409842133522,0.0046366555616259575,0.06367268413305283,0.0005000000237487257
38,0.0011645324993878603,0.02445448748767376,0.0050448025576770306,0.06688986718654633,0.0005000000237487257
39,0.000992436078377068,0.023799726739525795,0.003265635808929801,0.05138258635997772,0.0002500000118743628
40,0.0009761046967469156,0.024029044434428215,0.00406607473269105,0.05882001295685768,0.0002500000118743628
41,0.0009586987434886396,0.022270187735557556,0.0032710828818380833,0.051178812980651855,0.0002500000118743628
42,0.000954862276557833,0.02271021530032158,0.0047016325406730175,0.06357644498348236,0.0002500000118743628
43,0.0008913975907489657,0.021764440461993217,0.003433431498706341,0.05241493880748749,0.0002500000118743628
44,0.0008957920363172889,0.02223034016788006,0.004389840643852949,0.06085269898176193,0.0002500000118743628
45,0.0009391676285304129,0.02204727567732334,0.00546600203961134,0.06893302500247955,0.0002500000118743628
46,0.0008713729912415147,0.021435918286442757,0.006094096694141626,0.0733431875705719,0.0001250000059371814
