,loss,mae,val_loss,val_mae,learning_rate
0,0.002690599299967289,0.03906348720192909,0.03885822743177414,0.18095716834068298,0.0010000000474974513
1,0.008245320059359074,0.060943808406591415,0.03774520754814148,0.17652983963489532,0.0010000000474974513
2,0.0035814298316836357,0.04442255198955536,0.018273847177624702,0.1166602298617363,0.0010000000474974513
3,0.007634531706571579,0.06254700571298599,0.03712426498532295,0.16754956543445587,0.0010000000474974513
4,0.0031551567371934652,0.041450198739767075,0.04454527050256729,0.18609395623207092,0.0010000000474974513
5,0.00585645018145442,0.05859888717532158,0.0108775794506073,0.08247912675142288,0.0010000000474974513
6,0.0021173739805817604,0.03260099142789841,0.024622704833745956,0.1360560655593872,0.0010000000474974513
7,0.005970336962491274,0.05824854224920273,0.006173331290483475,0.06293252855539322,0.0010000000474974513
8,0.001460611936636269,0.027216102927923203,0.007307480089366436,0.07227335125207901,0.0010000000474974513
9,0.002025704365223646,0.03399454057216644,0.05672622472047806,0.22042381763458252,0.0010000000474974513
10,0.0034956629388034344,0.04575488343834877,0.007034904323518276,0.07044858485460281,0.0010000000474974513
11,0.003774068783968687,0.04729829728603363,0.032065119594335556,0.162493035197258,0.0010000000474974513
12,0.005777611862868071,0.05840422213077545,0.015355094335973263,0.10701698064804077,0.0010000000474974513
13,0.002075784606859088,0.03522639721632004,0.005774004850536585,0.06402163952589035,0.0010000000474974513
14,0.0009257787023670971,0.0246517863124609,0.012093694880604744,0.09557294845581055,0.0010000000474974513
15,0.0007697477121837437,0.02077401801943779,0.009883091785013676,0.08633602410554886,0.0010000000474974513
16,0.0006782120326533914,0.018390052020549774,0.0167083777487278,0.11459274590015411,0.0010000000474974513
17,0.0014649543445557356,0.030734729021787643,0.009482995606958866,0.08456357568502426,0.0010000000474974513
18,0.001060077571310103,0.023919757455587387,0.023250091820955276,0.13850626349449158,0.0010000000474974513
19,0.0019839450251311064,0.037097495049238205,0.009119810536503792,0.08301322162151337,0.0010000000474974513
20,0.0014356409665197134,0.030052637681365013,0.019306600093841553,0.12376806139945984,0.0010000000474974513
21,0.002340675098821521,0.03744535893201828,0.005878844298422337,0.0650765523314476,0.0005000000237487257
22,0.0012325739953666925,0.025769760832190514,0.022821394726634026,0.1382238268852234,0.0005000000237487257
23,0.0015854996163398027,0.03177793323993683,0.006359173450618982,0.06812355667352676,0.0005000000237487257
24,0.0009486759663559496,0.023011676967144012,0.02394619584083557,0.14122645556926727,0.0005000000237487257
25,0.0011578045086935163,0.0288659930229187,0.006826505530625582,0.070561982691288,0.0005000000237487257
26,0.0007767606875859201,0.020504120737314224,0.022117197513580322,0.13484716415405273,0.0005000000237487257
27,0.0006897118873894215,0.022230373695492744,0.009926590137183666,0.08631742000579834,0.0005000000237487257
28,0.000385679944884032,0.014540910720825195,0.013743271119892597,0.1027962937951088,0.0002500000118743628
