,loss,mae,val_loss,val_mae,learning_rate
0,0.020025309175252914,0.09174597263336182,0.00883681233972311,0.09178324043750763,0.0010000000474974513
1,0.007942240685224533,0.06274682283401489,0.0023193075321614742,0.043896306306123734,0.0010000000474974513
2,0.005368456710129976,0.04864427074790001,0.0005963059957139194,0.01848093420267105,0.0010000000474974513
3,0.010566462762653828,0.06960836797952652,0.00044448478729464114,0.015907585620880127,0.0010000000474974513
4,0.006352649535983801,0.05757772922515869,0.002262069145217538,0.04422976076602936,0.0010000000474974513
5,0.009306171908974648,0.06463092565536499,0.0003684777766466141,0.015960585325956345,0.0010000000474974513
6,0.00920093059539795,0.06494174152612686,0.0026649455539882183,0.04813133925199509,0.0010000000474974513
7,0.009316090494394302,0.06800436228513718,0.0008000257657840848,0.022921966388821602,0.0010000000474974513
8,0.007577034644782543,0.06332067400217056,0.0005746530368924141,0.01841248944401741,0.0010000000474974513
9,0.0052594575099647045,0.05447572097182274,0.001177637604996562,0.023544669151306152,0.0010000000474974513
10,0.005055735353380442,0.05145665258169174,0.0016217803349718451,0.034494705498218536,0.0010000000474974513
11,0.004043137654662132,0.0471603162586689,0.0006914302357472479,0.02152063325047493,0.0005000000237487257
12,0.0029823062941432,0.03685595467686653,0.0008735054871067405,0.024812249466776848,0.0005000000237487257
13,0.0026429572608321905,0.036276355385780334,0.0006513857515528798,0.020580781623721123,0.0005000000237487257
14,0.002237533451989293,0.031315043568611145,0.000539433560334146,0.018289530649781227,0.0005000000237487257
15,0.001922502415254712,0.029828570783138275,0.00046157516771927476,0.01699155382812023,0.0005000000237487257
16,0.0016265359008684754,0.026649722829461098,0.00037085480289533734,0.015020095743238926,0.0005000000237487257
17,0.001699934364296496,0.027160359546542168,0.0004997692303732038,0.018010562285780907,0.0005000000237487257
18,0.001818833639845252,0.02824578993022442,0.0006034756661392748,0.020029611885547638,0.0002500000118743628
19,0.0018354388885200024,0.028921276330947876,0.000434668647358194,0.015970975160598755,0.0002500000118743628
20,0.0016029042890295386,0.02588343806564808,0.000392749352613464,0.014394215308129787,0.0002500000118743628
