,loss,mae,val_loss,val_mae,learning_rate
0,0.02328074723482132,0.12652654945850372,0.09459266811609268,0.28333237767219543,0.0010000000474974513
1,0.024520117789506912,0.1252291202545166,0.1263256072998047,0.3307855725288391,0.0010000000474974513
2,0.012586275115609169,0.08706577867269516,0.025458570569753647,0.13012677431106567,0.0010000000474974513
3,0.022589242085814476,0.11777644604444504,0.01548846811056137,0.1002286821603775,0.0010000000474974513
4,0.021514765918254852,0.12669813632965088,0.03292957693338394,0.1479913294315338,0.0010000000474974513
5,0.008384906686842442,0.07178330421447754,0.07136516273021698,0.2366776317358017,0.0010000000474974513
6,0.009777307510375977,0.06992929428815842,0.024815838783979416,0.12906043231487274,0.0010000000474974513
7,0.010757056064903736,0.08825942873954773,0.04172069579362869,0.17329630255699158,0.0010000000474974513
8,0.009703321382403374,0.0715360939502716,0.039319515228271484,0.16743843257427216,0.0010000000474974513
9,0.009433571249246597,0.07834765315055847,0.05372226983308792,0.19899554550647736,0.0010000000474974513
10,0.01347447745501995,0.08490502089262009,0.02129145711660385,0.11661431938409805,0.0010000000474974513
11,0.005746158771216869,0.059151746332645416,0.06484948843717575,0.22595137357711792,0.0005000000237487257
12,0.005911535117775202,0.0600915364921093,0.04171690717339516,0.17230628430843353,0.0005000000237487257
13,0.004760024603456259,0.05072413384914398,0.04901374876499176,0.18864044547080994,0.0005000000237487257
14,0.004809232894331217,0.05002385750412941,0.04866185784339905,0.18799138069152832,0.0005000000237487257
15,0.005055136978626251,0.05345470458269119,0.04702390730381012,0.1843939870595932,0.0005000000237487257
16,0.004415260627865791,0.049586448818445206,0.04515732824802399,0.17967909574508667,0.0005000000237487257
17,0.004729323089122772,0.049970418214797974,0.049490198493003845,0.19055350124835968,0.0005000000237487257
18,0.00470395153388381,0.051121506839990616,0.05130685493350029,0.19550821185112,0.0002500000118743628
