Date,Open,High,Low,Close,Volume
2018-01-01,1066.5129688993345,1080.478257620652,1051.0775869322547,1057.0458984375,1645
2018-01-02,1079.0009914471966,1108.401773453719,1076.8032881490983,1103.57275390625,8107
2018-01-03,1130.459859220389,1131.9299528262,1087.8287731434268,1096.8695068359375,103430
2018-01-04,1108.9680145228242,1120.9047502958006,1102.5292839433018,1102.602783203125,22506
2018-01-05,1088.5706503413307,1117.2290486757854,1088.5706503413307,1100.904296875,8397
2018-01-08,1102.5289744230793,1113.5542945658137,1098.1188029395516,1109.7689208984375,10769
2018-01-09,1109.8789801713408,1109.8789801713408,1088.5708259352227,1093.0323486328125,6292
2018-01-10,1102.5290589426972,1115.6565451854635,1083.4184953258741,1101.07373046875,25410
2018-01-11,1102.528664875702,1106.2037343694346,1087.828278334717,1093.326171875,14641
2018-01-12,1095.1785692951248,1102.5288178686046,1080.478180714234,1094.9654541015625,13189
2018-01-15,1101.0515523097233,1101.0515523097233,1080.4782803263986,1083.30078125,3460
2018-01-16,1091.5037061074577,1102.5290267736998,1091.5037061074577,1101.580810546875,3993
2018-01-17,1102.5289906376615,1109.8056325565879,1098.4864238567122,1102.8670654296875,43874
2018-01-18,1102.8670654296875,1102.8670654296875,1102.8670654296875,1102.8670654296875,0
2018-01-19,1103.2639175021195,1103.2639175021195,1098.1922530925776,1102.51416015625,19311
2018-01-22,1102.5288030769477,1109.871669059219,1084.1533447388788,1105.079345703125,37631
2018-01-23,1109.879007494155,1109.879007494155,1095.17861825607,1103.61669921875,13915
2018-01-24,1102.5287555338407,1117.2291432836012,1058.4275922845595,1110.2978515625,105197
2018-01-25,1113.7012865999898,1139.2798902185405,1113.7012865999898,1129.4012451171875,14931
2018-01-26,1131.9298204724898,1131.9298204724898,1117.2294289637787,1125.461669921875,14447
2018-01-29,1113.5542651790586,1124.5794764647526,1113.5542651790586,1120.9779052734375,314
2018-01-30,1117.3027376523046,1146.6300164245977,1117.2292384214486,1140.50732421875,10502
2018-01-31,1114.2965167083748,1153.7964355065426,1114.2965167083748,1147.7545166015625,15609
2018-02-01,1150.2832868074734,1168.6807886560975,1150.2832868074734,1164.7926025390625,2928
2018-02-02,1164.7926025390625,1164.7926025390625,1164.7926025390625,1164.7926025390625,0
2018-02-05,1164.7926025390625,1164.7926025390625,1164.7926025390625,1164.7926025390625,0
2018-02-06,1131.9294730411464,1183.3807732462687,1131.9294730411464,1172.428955078125,51715
2018-02-07,1227.4747513720538,1227.4747513720538,1157.6552571335703,1162.815185546875,8034
2018-02-08,1175.8396497464425,1175.8396497464425,1150.3051258328826,1153.0614013671875,3968
2018-02-09,1147.3648760451279,1176.0306584246364,1147.3648760451279,1162.719482421875,14205
2018-02-12,1161.3305675844695,1161.3305675844695,1146.6301765302578,1155.6268310546875,10478
2018-02-13,1168.6806449517567,1168.6806449517567,1157.6553251221887,1160.5733642578125,1113
2018-02-14,1157.655091986944,1157.655091986944,1128.2544259724405,1138.4344482421875,19456
2018-02-15,1128.261833037949,1174.560703115259,1121.3673446140956,1131.93701171875,12801
2018-02-16,1142.9550460771413,1161.330506791471,1142.587441324703,1146.6741943359375,8663
2018-02-19,1146.6299146093795,1161.3303023056305,1139.2723925520338,1147.1444091796875,12366
2018-02-20,1146.6299127020882,1150.3049824785223,1117.2291373584915,1141.09521484375,5227
2018-02-21,1151.0404261682868,1151.0404261682868,1131.9152039924288,1133.10595703125,3146
2018-02-22,1124.5792219579437,1151.7750192463743,1124.5792219579437,1149.2685546875,6146
2018-02-23,1139.2799053261838,1161.3305457764682,1124.5795145480229,1148.570556640625,6292
2018-02-26,1138.5447318879546,1147.3649649523395,1124.5941007130793,1140.338134765625,919
2018-02-27,1123.109368785768,1139.2797420411152,1120.9116658363037,1128.151611328125,847
2018-02-28,1129.357309556289,1131.929891803191,1071.746492773583,1081.86767578125,92976
2018-03-01,1086.351084302542,1095.1785915571427,1047.4097373324494,1058.4644775390625,55732
2018-03-02,1058.7216195346678,1062.1026925291328,1047.4023043579377,1047.9976806640625,22360
2018-03-05,1049.6075587555874,1054.7453400919285,1047.4024730332812,1050.9747314453125,11325
2018-03-06,1051.8126539895495,1051.8126539895495,1049.6075682473024,1050.2103271484375,19118
2018-03-07,1036.377181319812,1047.586194310792,1036.377181319812,1044.3006591796875,9171
2018-03-08,1045.932368487021,1047.4023530895001,1037.1121351739328,1042.404296875,11325
2018-03-09,1042.3309958237653,1043.9479791939302,1037.8473248015791,1042.2647705078125,2734
2018-03-12,1043.7272591075052,1047.4023290955859,1043.7272591075052,1047.13037109375,5856
2018-03-13,1051.3573004452153,1057.6140434991962,1051.3573004452153,1051.6219482421875,24442
2018-03-14,1049.1589572783441,1051.349876072546,1044.3873696253859,1048.136962890625,4235
2018-03-15,1050.6293842309885,1051.327871974813,1044.0124291304435,1047.489990234375,5348
2018-03-16,1044.1592079691923,1050.5556035480442,1025.6316948589235,1045.2032470703125,27660
2018-03-19,1036.6674748746518,1047.6884203915702,1036.6601989612288,1044.37255859375,6025
2018-03-20,1051.349845019968,1067.9070006586587,1051.349845019968,1066.0762939453125,29282
2018-03-21,1077.089800053416,1084.4493311435413,1066.0688560927777,1066.98779296875,4331
2018-03-22,1083.7069380974508,1083.7142140110843,1069.7451114091498,1074.2813720703125,6969
2018-03-23,1074.2813720703125,1074.2813720703125,1074.2813720703125,1074.2813720703125,0
2018-03-26,1074.2668784074854,1091.8018329861616,1074.1565451328713,1087.66259765625,12366
